207,10300,37077,31063,24843,12821,61268,24206,0,0
208,10350,37027,31045,25236,12488,61161,24647,0,0
209,10400,36977,31025,25631,12159,61048,25089,0,0
210,10450,36928,31004,26028,11835,60927,25533,0,0
211,10500,36879,30983,26425,11517,60799,25979,0,0
212,10550,36832,30960,26825,11203,60665,26427,0,0
213,10600,36785,30935,27226,10895,60524,26876,0,0
214,10650,36739,30910,27628,10593,60375,27327,0,0
215,10700,36694,30884,28031,10296,60220,27779,0,0
216,10750,36650,30856,28435,10004,60058,28232,0,0
217,10800,36607,30827,28840,9718,59890,28687,0,0
218,10850,36564,30798,29246,9438,59715,29142,0,0
219,10900,36523,30767,29653,9163,59533,29599,0,0
220,10950,36482,30735,30061,8895,59344,30056,0,0
221,11000,36442,30701,30469,8632,59149,30514,0,0
222,11050,36403,30667,30877,8375,58948,30972,0,0
223,11100,36365,30632,31286,8124,58740,31431,0,0
224,11150,36328,30595,31695,7880,58525,31890,0,0
225,11200,36292,30558,32105,7641,58304,32349,0,0
226,11250,36257,30519,32514,7409,58077,32809,0,0
227,11300,36223,30480,32923,7182,57844,33268,0,0
228,11350,36190,30439,33332,6963,57604,33727,0,0
229,11400,36158,30398,33741,6749,57359,34186,0,0
230,11450,36126,30355,34150,6542,57107,34645,0,0
231,11500,36096,30311,34558,6341,56849,35103,0,0
232,11550,36067,30267,34965,6147,56586,35561,0,0
233,11600,36039,30221,35372,5960,56316,36018,0,0
234,11650,36011,30175,35778,5779,56041,36474,0,0
235,11700,35985,30127,36183,5605,55760,36930,0,0
236,11750,35960,30079,36588,5437,55473,37384,0,0
237,11800,35936,30029,36991,5276,55181,37837,0,0
238,11850,35913,29979,37393,5122,54883,38289,0,0
239,11900,35891,29928,37794,4975,54579,38740,0,0
240,11950,35870,29876,38194,4835,54271,39189,0,0
241,12000,35850,29823,38592,4702,53956,39636,0,0
242,12050,35831,29769,38988,4575,53637,40082,0,0
243,12100,35813,29714,39383,4455,53313,40526,0,0
244,12150,35796,29658,39776,4343,52983,40968,0,0
245,12200,35781,29602,40167,4237,52649,41408,0,0
246,12250,35766,29545,40557,4139,52309,41846,0,0
247,12300,35752,29487,40944,4047,51965,42281,0,0
248,12350,35740,29428,41329,3963,51616,42715,0,0
249,12400,35729,29368,41712,3886,51262,43146,0,0
250,12450,35718,29308,42093,3816,50904,43574,0,0
251,12500,35709,29247,42471,3753,50542,44000,0,0
252,12550,35701,29185,42847,3697,50175,44422,0,0
253,12600,35694,29122,43220,3648,49803,44842,0,0
254,12650,35688,29059,43590,3606,49428,45259,0,0
255,12700,35683,28995,43958,3572,49048,45673,0,0
256,12750,35680,28930,44323,3545,48664,46084,0,0
257,12800,35677,28865,44685,3525,48277,46492,0,0
258,12850,35675,28799,45043,3513,47885,46896,0,0
259,12900,35675,28733,45399,3507,47490,47296,0,0
260,12950,35676,28665,45752,3509,47091,47693,0,0
261,13000,35678,28598,46101,3518,46689,48087,0,0
262,13050,35680,28529,46446,3534,46283,48476,0,0
263,13100,35684,28461,46789,3557,45874,48862,0,0
264,13150,35690,28391,47127,3588,45462,49244,0,0
265,13200,35696,28321,47462,3626,45046,49621,0,0
266,13250,35703,28251,47793,3671,44628,49995,0,0
267,13300,35711,28180,48121,3723,44206,50364,0,0
268,13350,35721,28109,48444,3782,43782,50729,0,0
269,13400,35732,28037,48764,3849,43355,51089,0,0
270,13450,35743,27965,49080,3922,42926,51445,0,0
271,13500,35756,27892,49391,4003,42494,51797,0,0
272,13550,35770,27819,49698,4091,42059,52143,0,0
